Fecha recibo|Nro de recibo|Importe|Razón Social|CUIT|Fecha Factura|Nro de factura|Monto de factura|Medio de pago|Nro del MP|Fecha pago|Importe del MP|Id Subasta  
||1132560.00|||A0002-00000605|03-11-2023|1132560.00|Retenciones II.BB. Buenos Aires|00001-2023-00001160|2023-11-03|18720.00|187  
||959530.00|||A0002-00000631|07-11-2023|959530.00|DEPOSITOS|123-009694/0|2023-11-01|750000.00|171  
||959530.00|||A0002-00000631|07-11-2023|959530.00|DEPOSITOS|123-009694/0|2023-11-08|193670.00|171  
||959530.00|||A0002-00000631|07-11-2023|959530.00|Retenciones II.BB. Buenos Aires|1727|2023-11-08|15860.00|171  
||1352780.00|||A0002-00000632|07-11-2023|1352780.00|DEPOSITOS|123-009694/0|2023-11-08|1330420.00|171  
||1352780.00|||A0002-00000632|07-11-2023|1352780.00|Retenciones II.BB. Buenos Aires|1728|2023-11-08|22360.00|171  
||259787.00|||A0002-00000620|06-11-2023|259787.00|DEPOSITOS|123-009694/0|2023-11-07|259787.00|83  
||273460.00|||A0002-00000621|06-11-2023|273460.00|DEPOSITOS|123-009694/0|0023-01-07|273460.00|83  
||246114.00|||A0002-00000706|15-11-2023|246114.00|DEPOSITOS|123-009694/0|2023-11-23|246114.00|165  
||314479.00|||A0002-00000705|15-11-2023|314479.00|DEPOSITOS|123-009694/0|2023-11-23|314479.00|165  
||970783.00|||A0002-00000704|15-11-2023|970783.00|DEPOSITOS|123-009694/0|2023-11-23|970783.00|165  
||243815.00|||A0002-00000744|17-11-2023|243815.00|DEPOSITOS|123-009694/0|2023-11-24|243815.00|161  
||235950.00|||A0002-00000746|17-11-2023|235950.00|DEPOSITOS|123-009694/0|2023-11-24|235950.00|161  
||157300.00|||A0002-00000670|10-11-2023|157300.00|DEPOSITOS|123-009694/0|2023-11-16|157300.00|145  
||298870.00|||A0002-00000445|06-10-2023|298870.00|DEPOSITOS|123-009694/0|2023-11-13|295274.00|118  
